iter	Passed	Remaining
872	11707	1703
873	11720	1689
874	11733	1676
875	11747	1662
876	11760	1649
877	11774	1636
878	11786	1622
879	11799	1609
880	11813	1595
881	11826	1582
882	11840	1568
883	11853	1555
884	11866	1542
885	11879	1528
886	11893	1515
887	11907	1501
888	11920	1488
889	11933	1474
890	11946	1461
891	11959	1447
892	11972	1434
893	11985	1421
894	11998	1407
895	12011	1394
896	12023	1380
897	12036	1367
898	12049	1353
899	12062	1340
900	12075	1326
901	12088	1313
902	12101	1299
903	12114	1286
904	12127	1273
905	12140	1259
906	12153	1246
907	12167	1232
908	12180	1219
909	12193	1205
910	12205	1192
911	12219	1179
912	12232	1165
913	12245	1152
914	12258	1138
915	12271	1125
916	12284	1111
917	12297	1098
918	12311	1085
919	12324	1071
920	12337	1058
921	12350	1044
922	12364	1031
923	12376	1017
924	12388	1004
925	12401	991
926	12414	977
927	12427	964
928	12441	950
929	12454	937
930	12467	923
931	12479	910
932	12492	897
933	12505	883
934	12518	870
935	12531	856
936	12544	843
937	12557	830
938	12571	816
939	12583	803
940	12596	789
941	12609	776
942	12622	762
943	12635	749
944	12647	736
945	12660	722
946	12673	709
947	12686	695
948	12698	682
949	12711	669
950	12723	655
951	12737	642
952	12750	628
953	12763	615
954	12776	602
955	12789	588
956	12802	575
957	12816	561
958	12829	548
959	12843	535
960	12857	521
961	12870	508
962	12883	494
963	12896	481
964	12910	468
965	12924	454
966	12939	441
967	12952	428
968	12965	414
969	12979	401
970	12992	388
971	13006	374
972	13020	361
973	13034	347
974	13048	334
975	13062	321
976	13075	307
977	13088	294
978	13104	281
979	13117	267
980	13130	254
981	13144	240
982	13159	227
983	13173	214
984	13187	200
985	13200	187
986	13211	174
987	13223	160
988	13234	147
989	13246	133
990	13258	120
991	13270	107
992	13281	93
993	13292	80
994	13304	66
995	13317	53
996	13328	40
997	13341	26
998	13353	13
999	13364	0
